IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(M),地区码,端口
198.41.199.149,4,3,25,186.43,0.00,LAX,443
104.27.14.203,4,4,0,195.57,0.00,LAX,443
104.24.156.15,4,4,0,168.96,0.00,LAX,443
108.162.193.43,4,4,0,179.44,0.00,LAX,443
162.159.255.65,4,3,25,184.35,0.00,LAX,443
104.20.24.11,4,4,0,193.55,0.00,LAX,443
162.159.17.217,4,3,25,90.29,0.00,SJC,443
104.25.248.191,4,3,25,95.93,0.00,HKG,443
104.20.19.68,4,4,0,194.38,0.00,LAX,443
104.25.48.183,4,4,0,182.46,0.00,LAX,443
104.24.21.111,4,4,0,185.11,0.00,LAX,443
104.25.92.98,4,4,0,185.88,0.00,LAX,443
104.24.38.57,4,4,0,182.33,0.00,SJC,443
104.24.89.29,4,4,0,174.13,0.00,LAX,443
172.65.239.140,4,4,0,235.04,0.00,LHR,443
108.162.194.85,4,4,0,195.58,0.00,LAX,443
108.162.196.118,4,4,0,135.47,0.00,LAX,443
104.25.211.227,4,3,25,194.07,0.00,SJC,443
103.31.4.32,4,4,0,180.20,0.00,DEN,443
162.159.140.252,4,4,0,51.73,0.00,NRT,443
103.21.244.23,4,4,0,194.13,0.00,LAX,443
190.93.244.155,4,3,25,138.56,0.00,HKG,443
104.17.169.125,4,4,0,82.12,0.00,HKG,443
172.67.187.239,4,4,0,184.03,0.00,LAX,443
104.25.176.51,4,4,0,186.97,0.00,LAX,443
172.66.135.24,4,4,0,187.03,0.00,LAX,443
104.18.59.231,4,4,0,150.19,0.00,LAX,443
198.41.198.89,4,4,0,191.47,0.00,LAX,443
104.27.79.73,4,4,0,187.27,0.00,SJC,443
104.24.162.189,4,4,0,192.59,0.00,LAX,443
108.162.196.12,4,4,0,196.19,0.00,SJC,443
172.67.86.143,4,4,0,182.72,0.00,LAX,443
104.19.125.98,4,3,25,188.45,0.00,LAX,443
104.16.220.32,4,4,0,191.13,0.00,SJC,443
190.93.247.5,4,4,0,116.53,0.00,SJC,443
198.41.197.5,4,4,0,153.76,0.00,SJC,443
173.245.49.36,4,4,0,191.70,0.00,HKG,443
162.159.33.40,4,4,0,146.58,0.00,LAX,443
198.41.216.150,4,3,25,173.67,0.00,LAX,443
104.25.188.87,4,3,25,184.46,0.00,LAX,443
104.18.193.138,4,4,0,182.92,0.00,SJC,443
104.24.45.228,4,4,0,185.38,0.00,LAX,443
104.25.23.190,4,4,0,184.52,0.00,SJC,443
103.21.244.165,4,4,0,191.11,0.00,LAX,443
104.18.170.77,4,4,0,116.62,0.00,SJC,443
190.93.246.244,4,4,0,147.42,0.00,SJC,443
198.41.216.201,4,4,0,115.44,0.00,LAX,443
104.25.122.50,4,4,0,184.20,0.00,LAX,443
104.24.28.79,4,4,0,185.02,0.00,LAX,443
173.245.59.6,4,3,25,183.54,0.00,SJC,443
104.21.96.228,4,4,0,185.40,0.00,SJC,443
104.19.197.49,4,3,25,137.49,0.00,HKG,443
104.16.119.24,4,3,25,179.13,0.00,SJC,443
188.114.97.7,4,3,25,194.66,0.00,LAX,443
104.17.29.173,4,3,25,106.12,0.00,HKG,443
104.27.24.91,4,3,25,185.96,0.00,LAX,443
173.245.58.21,4,3,25,189.46,0.00,SJC,443
104.24.236.239,4,3,25,195.60,0.00,LAX,443
103.31.4.169,4,4,0,191.33,0.00,DEN,443
198.41.199.128,4,3,25,87.55,0.00,SJC,443
173.245.49.209,4,4,0,185.74,0.00,HKG,443
162.159.39.223,4,3,25,185.94,0.00,LAX,443
104.18.0.161,4,4,0,167.56,0.00,SEA,443
188.114.96.80,4,3,25,190.72,0.00,SJC,443
108.162.192.240,4,3,25,197.98,0.00,LAX,443
104.25.158.164,4,3,25,193.51,0.00,LAX,443
104.25.184.211,4,3,25,193.92,0.00,LAX,443
104.24.20.176,4,3,25,177.70,0.00,SJC,443
104.24.160.122,4,3,25,175.92,0.00,SJC,443
104.24.255.22,4,4,0,167.49,0.00,LAX,443
172.67.102.227,4,4,0,184.52,0.00,LAX,443
104.27.113.94,4,3,25,184.72,0.00,SJC,443
104.27.194.152,4,4,0,190.69,0.00,LAX,443
104.17.141.193,4,4,0,99.83,0.00,SJC,443
190.93.247.82,4,4,0,116.14,0.00,SJC,443
198.41.222.20,4,3,25,181.14,0.00,LAX,443
104.27.65.225,4,3,25,183.03,0.00,LAX,443
104.20.22.42,4,3,25,173.44,0.00,LAX,443
104.27.2.168,4,3,25,173.83,0.00,LAX,443
104.27.8.73,4,3,25,196.53,0.00,LAX,443
172.67.131.18,4,4,0,235.64,0.00,LHR,443
198.41.199.152,4,4,0,186.75,0.00,HKG,443
104.21.86.45,4,3,25,173.07,0.00,SJC,443
104.24.10.243,4,4,0,188.96,0.00,LAX,443
104.21.113.213,4,4,0,175.21,0.00,LAX,443
104.24.56.158,4,4,0,192.11,0.00,LAX,443
104.19.162.137,4,3,25,172.07,0.00,SEA,443
104.27.55.190,4,4,0,189.04,0.00,LAX,443
172.65.208.132,4,4,0,215.95,0.00,LHR,443
104.27.45.93,4,4,0,182.90,0.00,LAX,443
104.21.57.22,4,3,25,190.93,0.00,LAX,443
198.41.211.58,4,3,25,134.79,0.00,LAX,443
104.21.6.182,4,4,0,181.22,0.00,LAX,443
108.162.196.1,4,3,25,176.63,0.00,LAX,443
104.25.211.243,4,3,25,183.45,0.00,LAX,443
198.41.215.181,4,4,0,192.39,0.00,LAX,443
104.24.55.6,4,3,25,188.13,0.00,LAX,443
104.16.118.84,4,3,25,183.92,0.00,SJC,443
188.114.98.150,4,3,25,193.86,0.00,SJC,443
104.18.87.28,4,4,0,80.34,0.00,HKG,443
188.114.97.42,4,3,25,167.10,0.00,SJC,443
173.245.58.80,4,4,0,185.70,0.00,LAX,443
104.25.107.136,4,4,0,170.67,0.00,SJC,443
103.31.4.148,4,3,25,200.51,0.00,DEN,443
104.24.243.48,4,4,0,178.22,0.00,LAX,443
104.25.90.86,4,3,25,186.95,0.00,LAX,443
104.24.188.36,4,4,0,192.44,0.00,LAX,443
172.67.113.254,4,4,0,178.71,0.00,LAX,443
103.31.4.3,4,3,25,212.15,0.00,DEN,443
104.21.19.160,4,3,25,172.52,0.00,SEA,443
104.24.155.99,4,3,25,194.67,0.00,LAX,443
104.17.224.68,4,3,25,183.57,0.00,SEA,443
141.101.122.63,4,3,25,183.60,0.00,HKG,443
172.67.167.232,4,3,25,161.52,0.00,SEA,443
162.159.44.9,4,4,0,188.75,0.00,LAX,443
104.24.178.37,4,3,25,178.69,0.00,LAX,443
104.25.47.50,4,4,0,178.27,0.00,LAX,443
173.245.59.52,4,4,0,175.67,0.00,SJC,443
104.27.39.96,4,3,25,188.09,0.00,LAX,443
104.25.173.94,4,4,0,177.74,0.00,SJC,443
